GESLO,GESLO_NORM,OPIS
Gardanne,GARDANNE,mesto v Franciji
Garges lès Gonesse,GARGES LES GONESSE,mesto v Franciji
Gennevilliers,GENNEVILLIERS,mesto v Franciji
Gentilly,GENTILLY,mesto v Franciji
Gif sur Yvette,GIF SUR YVETTE,mesto v Franciji
Givors,GIVORS,mesto v Franciji
Gonesse,GONESSE,mesto v Franciji
Goussainville,GOUSSAINVILLE,mesto v Franciji
Gradignan,GRADIGNAN,mesto v Franciji
Grande Synthe,GRANDE SYNTHE,mesto v Franciji
Grasse,GRASSE,mesto v Franciji
Grenoble,GRENOBLE,mesto v Franciji
Grigny,GRIGNY,mesto v Franciji
Guipavas,GUIPAVAS,mesto v Franciji
Gujan Mestras,GUJAN MESTRAS,mesto v Franciji
Guyancourt,GUYANCOURT,mesto v Franciji
Guérande,GUERANDE,mesto v Franciji
Haguenau,HAGUENAU,mesto v Franciji
Halluin,HALLUIN,mesto v Franciji
Hayange,HAYANGE,mesto v Franciji
Hazebrouck,HAZEBROUCK,mesto v Franciji
Hellemmes Lille,HELLEMMES LILLE,mesto v Franciji
Hem,HEM,mesto v Franciji
Hendaye,HENDAYE,mesto v Franciji
Hennebont,HENNEBONT,mesto v Franciji
