QID,MESTO,GESLO,OPIS,DRŽAVA
Q126685227,Basel metropolitan area,BASELMETROPOLITANAREA,mesto v Francija,Francija
Q126685199,Geneva metropolitan area,GENEVAMETROPOLITANAREA,mesto v Francija,Francija
Q163932,10e arrondissement de Marseille,10EARRONDISSEMENTDEMARSEILLE,mesto v Francija,Francija
Q169256,11e arrondissement de Marseille,11EARRONDISSEMENTDEMARSEILLE,mesto v Francija,Francija
Q1269245,12e arrondissement de Marseille,12EARRONDISSEMENTDEMARSEILLE,mesto v Francija,Francija
Q175110,13e arrondissement de Marseille,13EARRONDISSEMENTDEMARSEILLE,mesto v Francija,Francija
Q238661,5e arrondissement de Marseille,5EARRONDISSEMENTDEMARSEILLE,mesto v Francija,Francija
Q3366,9e arrondissement de Lyon,9EARRONDISSEMENTDELYON,mesto v Francija,Francija
Q275105,9e arrondissement de Marseille,9EARRONDISSEMENTDEMARSEILLE,mesto v Francija,Francija
Q245504,Achères,ACHERES,mesto v Francija,Francija
Q2828331,aire urbaine d'Albertville,AIREURBAINEDALBERTVILLE,mesto v Francija,Francija
Q2828400,Aire urbaine de Bordeaux,AIREURBAINEDEBORDEAUX,mesto v Francija,Francija
Q2828400,Aire urbaine de Bordeaux,AIREURBAINEDEBORDEAUX,mesto v Francija,Francija
Q2828400,Aire urbaine de Bordeaux,AIREURBAINEDEBORDEAUX,mesto v Francija,Francija
Q2828400,Aire urbaine de Bordeaux,AIREURBAINEDEBORDEAUX,mesto v Francija,Francija
